gene_id,non_coding,mzt_gene_class,hourly_wave,utr,s8mers,s7mera1,s7merm8,s6mer,s6mero,target
ENSDARG00000001557,no,maternal_zygotic,6,ENSDARG00000001557:UTR4,0,0,1,0,0,putative_targets
ENSDARG00000001558,no,maternal_zygotic,4,ENSDARG00000001558:UTR6,0,0,0,0,0,controls
ENSDARG00000001578,no,maternal_zygotic,7,ENSDARG00000001578:UTR1,0,0,0,0,0,controls
ENSDARG00000001621,no,maternal_zygotic,5,ENSDARG00000001621:UTR3,0,0,0,0,0,others
ENSDARG00000001676,no,maternal,not_assigned,ENSDARG00000001676:UTR3,0,0,0,0,0,others
ENSDARG00000001710,no,maternal,not_assigned,ENSDARG00000001710:UTR4,0,0,0,0,0,others
ENSDARG00000001729,no,maternal_zygotic,5,ENSDARG00000001729:UTR2,0,0,0,0,0,others
ENSDARG00000001733,no,maternal,not_assigned,ENSDARG00000001733:UTR8,0,0,1,0,0,putative_targets
ENSDARG00000001734,no,maternal_zygotic,6,ENSDARG00000001734:UTR2,0,0,0,1,0,putative_targets
ENSDARG00000001754,no,maternal_zygotic,6,ENSDARG00000001754:UTR3,0,0,0,0,0,others
ENSDARG00000001767,no,maternal,not_assigned,ENSDARG00000001767:UTR3,1,0,1,0,0,putative_targets
ENSDARG00000001769,no,maternal,not_assigned,ENSDARG00000001769:UTR4,0,0,0,0,0,others
ENSDARG00000001777,no,maternal,not_assigned,ENSDARG00000001777:UTR4,0,0,0,0,0,others
ENSDARG00000001788,no,maternal_zygotic,7,ENSDARG00000001788:UTR2,0,0,0,0,0,others
ENSDARG00000001804,no,maternal,not_assigned,ENSDARG00000001804:UTR5,0,0,0,0,0,others
ENSDARG00000001829,no,maternal_zygotic,5,ENSDARG00000001829:UTR6,0,0,0,1,0,putative_targets
ENSDARG00000001873,no,maternal,not_assigned,ENSDARG00000001873:UTR2,0,0,0,0,0,others
ENSDARG00000001879,no,zygotic,5,ENSDARG00000001879:UTR1,0,0,0,0,0,others
ENSDARG00000001880,no,maternal,not_assigned,ENSDARG00000001880:UTR4,0,0,0,0,0,others
ENSDARG00000001888,no,maternal_zygotic,6,ENSDARG00000001888:UTR7,0,0,0,0,0,others
ENSDARG00000001889,no,zygotic,7,ENSDARG00000001889:UTR2,0,0,0,0,0,others
ENSDARG00000001890,no,maternal,not_assigned,ENSDARG00000001890:UTR3,0,0,0,1,0,putative_targets
ENSDARG00000001897,no,maternal,not_assigned,ENSDARG00000001897:UTR4,0,0,0,0,0,others
ENSDARG00000001929,no,maternal,not_assigned,ENSDARG00000001929:UTR1,0,0,1,1,1,known_target
ENSDARG00000001930,no,maternal_zygotic,5,ENSDARG00000001930:UTR7,0,0,0,0,1,putative_targets
ENSDARG00000001939,no,maternal_zygotic,5,ENSDARG00000001939:UTR3,0,0,0,0,0,others
ENSDARG00000001940,no,maternal_zygotic,6,ENSDARG00000001940:UTR2,0,0,0,0,0,controls
ENSDARG00000001953,no,zygotic,6,ENSDARG00000001953:UTR2,0,0,0,1,0,putative_targets
ENSDARG00000001969,no,maternal_zygotic,5,ENSDARG00000001969:UTR5,0,0,1,1,0,putative_targets
ENSDARG00000001999,no,zygotic,7,ENSDARG00000001999:UTR3,0,0,0,0,1,putative_targets
ENSDARG00000002002,no,maternal,not_assigned,ENSDARG00000002002:UTR3,0,0,0,0,0,others
ENSDARG00000002006,no,maternal_zygotic,7,ENSDARG00000002006:UTR6,0,0,0,2,0,putative_targets
ENSDARG00000002013,no,maternal,not_assigned,ENSDARG00000002013:UTR4,0,0,0,1,0,putative_targets
ENSDARG00000002016,no,maternal_zygotic,not_assigned,ENSDARG00000002016:UTR2,0,0,0,0,0,others
ENSDARG00000002020,no,maternal_zygotic,not_assigned,ENSDARG00000002020:UTR1,0,1,0,0,2,putative_targets
ENSDARG00000002031,no,maternal_zygotic,6,ENSDARG00000002031:UTR1,0,0,0,0,0,others
ENSDARG00000002037,no,maternal,not_assigned,ENSDARG00000002037:UTR5,0,1,0,1,0,putative_targets
ENSDARG00000002060,no,maternal,not_assigned,ENSDARG00000002060:UTR7,0,0,0,0,0,others
ENSDARG00000002077,no,maternal,not_assigned,ENSDARG00000002077:UTR2,0,0,0,0,0,others
ENSDARG00000002082,no,maternal_zygotic,5,ENSDARG00000002082:UTR12,0,0,0,0,0,controls
ENSDARG00000002127,no,maternal_zygotic,6,ENSDARG00000002127:UTR2,0,0,1,1,0,known_target
ENSDARG00000002128,no,maternal_zygotic,6,ENSDARG00000002128:UTR2,0,0,0,0,0,others
ENSDARG00000002168,no,maternal_zygotic,5,ENSDARG00000002168:UTR4,0,0,0,0,0,controls
ENSDARG00000002172,no,zygotic,4,ENSDARG00000002172:UTR2,0,0,1,0,0,putative_targets
ENSDARG00000002174,no,maternal,not_assigned,ENSDARG00000002174:UTR2,0,0,0,0,0,others
ENSDARG00000002184,no,maternal_zygotic,6,ENSDARG00000002184:UTR2,0,0,1,1,0,putative_targets
ENSDARG00000002190,no,maternal_zygotic,6,ENSDARG00000002190:UTR2,0,0,0,0,0,controls
ENSDARG00000002197,no,maternal,not_assigned,ENSDARG00000002197:UTR2,0,0,0,0,0,others
ENSDARG00000002215,no,maternal_zygotic,5,ENSDARG00000002215:UTR2,0,0,0,0,0,controls
ENSDARG00000002217,no,maternal_zygotic,6,ENSDARG00000002217:UTR3,0,0,1,0,0,putative_targets
ENSDARG00000002220,no,maternal_zygotic,5,ENSDARG00000002220:UTR2,0,0,0,0,0,others
ENSDARG00000002240,no,maternal_zygotic,5,ENSDARG00000002240:UTR4,0,0,0,0,0,others
ENSDARG00000002264,no,maternal_zygotic,7,ENSDARG00000002264:UTR4,0,0,0,0,0,others
ENSDARG00000002267,no,maternal_zygotic,5,ENSDARG00000002267:UTR2,0,0,0,0,0,controls
ENSDARG00000002271,no,maternal_zygotic,4,ENSDARG00000002271:UTR4,0,0,0,1,0,putative_targets
ENSDARG00000002285,no,maternal_zygotic,6,ENSDARG00000002285:UTR2,0,0,0,0,1,putative_targets
ENSDARG00000002298,no,maternal,not_assigned,ENSDARG00000002298:UTR2,0,0,0,0,1,putative_targets
ENSDARG00000002304,no,maternal_zygotic,7,ENSDARG00000002304:UTR2,0,0,0,0,0,others
ENSDARG00000002305,no,maternal_zygotic,7,ENSDARG00000002305:UTR3,0,0,1,0,1,known_target
ENSDARG00000002330,no,maternal,not_assigned,ENSDARG00000002330:UTR3,0,1,1,0,0,putative_targets
ENSDARG00000002332,no,maternal_zygotic,5,ENSDARG00000002332:UTR7,0,0,1,0,0,putative_targets
ENSDARG00000002339,no,maternal_zygotic,6,ENSDARG00000002339:UTR5,0,0,0,0,0,others
ENSDARG00000002344,no,maternal_zygotic,4,ENSDARG00000002344:UTR4,0,0,0,0,0,others
ENSDARG00000002347,no,maternal_zygotic,6,ENSDARG00000002347:UTR9,0,0,0,0,0,others
ENSDARG00000002353,no,zygotic,4,ENSDARG00000002353:UTR5,0,0,1,0,0,putative_targets
ENSDARG00000002362,no,maternal_zygotic,6,ENSDARG00000002362:UTR5,0,0,0,0,0,others
ENSDARG00000002365,no,undetermined,not_assigned,ENSDARG00000002365:UTR2,0,0,0,0,0,controls
ENSDARG00000002369,no,maternal_zygotic,4,ENSDARG00000002369:UTR2,0,0,0,0,0,others
ENSDARG00000002377,no,maternal_zygotic,5,ENSDARG00000002377:UTR4,0,0,0,0,0,others
ENSDARG00000002385,no,maternal,not_assigned,ENSDARG00000002385:UTR1,0,0,1,1,0,putative_targets
ENSDARG00000002396,no,maternal,not_assigned,ENSDARG00000002396:UTR2,0,0,0,1,0,putative_targets
ENSDARG00000002401,no,maternal,not_assigned,ENSDARG00000002401:UTR9,0,0,0,0,0,others
ENSDARG00000002402,no,maternal_zygotic,7,ENSDARG00000002402:UTR2,0,0,0,0,0,others
ENSDARG00000002403,no,maternal_zygotic,5,ENSDARG00000002403:UTR2,0,0,0,0,0,others
ENSDARG00000002463,no,maternal,not_assigned,ENSDARG00000002463:UTR4,0,0,1,0,0,putative_targets
ENSDARG00000002467,no,maternal_zygotic,7,ENSDARG00000002467:UTR2,0,0,0,0,0,controls
ENSDARG00000002479,no,maternal_zygotic,5,ENSDARG00000002479:UTR2,0,0,0,0,1,putative_targets
ENSDARG00000002487,no,maternal_zygotic,5,ENSDARG00000002487:UTR4,0,0,0,0,0,others
ENSDARG00000002494,no,maternal,not_assigned,ENSDARG00000002494:UTR6,0,0,0,0,0,controls
ENSDARG00000002506,no,maternal_zygotic,5,ENSDARG00000002506:UTR5,0,0,0,0,0,others
ENSDARG00000002509,no,zygotic,5,ENSDARG00000002509:UTR2,0,0,0,0,0,others
ENSDARG00000002523,no,maternal_zygotic,5,ENSDARG00000002523:UTR6,0,0,0,0,1,putative_targets
ENSDARG00000002536,no,maternal_zygotic,6,ENSDARG00000002536:UTR2,0,0,0,0,1,putative_targets
ENSDARG00000002538,no,maternal_zygotic,6,ENSDARG00000002538:UTR2,0,0,0,0,0,others
ENSDARG00000002546,no,maternal,not_assigned,ENSDARG00000002546:UTR5,0,0,0,0,0,others
ENSDARG00000002549,no,maternal,not_assigned,ENSDARG00000002549:UTR16,0,0,0,0,0,others
ENSDARG00000002552,no,maternal_zygotic,5,ENSDARG00000002552:UTR2,0,0,0,1,0,putative_targets
ENSDARG00000002591,no,maternal_zygotic,5,ENSDARG00000002591:UTR2,0,0,0,0,1,putative_targets
ENSDARG00000002597,no,maternal,not_assigned,ENSDARG00000002597:UTR9,0,1,0,0,0,putative_targets
ENSDARG00000002601,no,zygotic,4,ENSDARG00000002601:UTR2,0,0,0,1,0,putative_targets
ENSDARG00000002613,no,maternal_zygotic,5,ENSDARG00000002613:UTR2,0,0,0,0,0,others
ENSDARG00000002632,no,maternal_zygotic,not_assigned,ENSDARG00000002632:UTR3,0,0,0,0,1,putative_targets
ENSDARG00000002659,no,maternal_zygotic,5,ENSDARG00000002659:UTR4,0,0,0,0,0,others
ENSDARG00000002670,no,maternal_zygotic,6,ENSDARG00000002670:UTR4,0,0,0,1,0,putative_targets
ENSDARG00000002682,no,maternal,not_assigned,ENSDARG00000002682:UTR7,0,0,0,0,1,putative_targets
ENSDARG00000002685,no,maternal,not_assigned,ENSDARG00000002685:UTR9,0,0,0,0,0,others
ENSDARG00000002690,no,maternal_zygotic,5,ENSDARG00000002690:UTR8,0,0,0,0,1,putative_targets
ENSDARG00000002707,no,zygotic,4,ENSDARG00000002707:UTR2,0,0,0,0,0,others
ENSDARG00000002710,no,maternal_zygotic,4,ENSDARG00000002710:UTR13,0,0,0,0,0,others
ENSDARG00000002720,no,maternal_zygotic,5,ENSDARG00000002720:UTR4,0,0,0,0,0,others
ENSDARG00000002731,no,maternal,not_assigned,ENSDARG00000002731:UTR2,0,0,0,0,0,others
ENSDARG00000002745,no,maternal_zygotic,7,ENSDARG00000002745:UTR10,0,0,0,0,0,others
ENSDARG00000002748,no,maternal,not_assigned,ENSDARG00000002748:UTR2,0,0,0,0,0,controls
ENSDARG00000002750,no,maternal,not_assigned,ENSDARG00000002750:UTR3,0,0,0,0,0,others
ENSDARG00000002758,no,maternal_zygotic,5,ENSDARG00000002758:UTR7,0,0,0,0,0,others
ENSDARG00000002787,no,maternal_zygotic,6,ENSDARG00000002787:UTR3,0,0,0,0,0,controls
ENSDARG00000002790,no,maternal_zygotic,7,ENSDARG00000002790:UTR7,0,0,0,0,0,others
ENSDARG00000002791,no,maternal_zygotic,4,ENSDARG00000002791:UTR2,0,0,0,0,0,others
ENSDARG00000002792,no,maternal_zygotic,6,ENSDARG00000002792:UTR2,0,0,0,0,0,others
ENSDARG00000002798,no,maternal,not_assigned,ENSDARG00000002798:UTR2,0,0,0,0,0,others
ENSDARG00000002826,no,maternal,not_assigned,ENSDARG00000002826:UTR4,0,0,0,0,0,controls
ENSDARG00000002830,no,maternal,not_assigned,ENSDARG00000002830:UTR5,0,0,0,0,0,others
ENSDARG00000002877,no,maternal_zygotic,6,ENSDARG00000002877:UTR2,0,0,0,3,0,putative_targets
ENSDARG00000002880,no,undetermined,not_assigned,ENSDARG00000002880:UTR1,0,0,2,1,1,putative_targets
ENSDARG00000002894,no,maternal_zygotic,6,ENSDARG00000002894:UTR2,0,0,0,1,0,putative_targets
ENSDARG00000002909,no,maternal_zygotic,5,ENSDARG00000002909:UTR6,0,0,0,0,0,controls
ENSDARG00000002912,no,maternal_zygotic,6,ENSDARG00000002912:UTR6,0,0,1,0,1,putative_targets
ENSDARG00000002916,no,maternal,not_assigned,ENSDARG00000002916:UTR6,0,0,0,0,0,others
ENSDARG00000002937,no,maternal,not_assigned,ENSDARG00000002937:UTR5,0,0,0,0,0,others
ENSDARG00000002945,no,maternal,not_assigned,ENSDARG00000002945:UTR3,0,0,0,0,0,others
ENSDARG00000002949,no,maternal_zygotic,5,ENSDARG00000002949:UTR2,0,0,0,0,0,others
ENSDARG00000002952,no,zygotic,5,ENSDARG00000002952:UTR2,0,0,0,2,0,putative_targets
ENSDARG00000002967,no,maternal_zygotic,6,ENSDARG00000002967:UTR2,0,0,0,0,0,controls
ENSDARG00000002970,no,maternal_zygotic,5,ENSDARG00000002970:UTR2,0,0,0,0,0,controls
ENSDARG00000002971,no,maternal_zygotic,4,ENSDARG00000002971:UTR5,0,0,1,0,0,putative_targets
ENSDARG00000002991,no,maternal,not_assigned,ENSDARG00000002991:UTR3,0,0,0,0,0,others
ENSDARG00000002994,no,maternal_zygotic,5,ENSDARG00000002994:UTR2,0,0,0,0,1,putative_targets
ENSDARG00000003017,no,maternal_zygotic,4,ENSDARG00000003017:UTR2,0,0,1,1,0,known_target
ENSDARG00000003021,no,maternal,not_assigned,ENSDARG00000003021:UTR7,0,0,0,0,0,others
ENSDARG00000003027,no,maternal_zygotic,6,ENSDARG00000003027:UTR4,0,0,0,0,0,others
ENSDARG00000003032,no,maternal,not_assigned,ENSDARG00000003032:UTR2,0,0,1,0,0,putative_targets
ENSDARG00000003035,no,maternal_zygotic,6,ENSDARG00000003035:UTR2,0,0,0,0,1,putative_targets
ENSDARG00000003058,no,maternal_zygotic,7,ENSDARG00000003058:UTR4,0,0,0,0,0,others
ENSDARG00000003061,no,maternal,not_assigned,ENSDARG00000003061:UTR6,0,0,0,0,0,others
ENSDARG00000003068,no,maternal_zygotic,6,ENSDARG00000003068:UTR2,0,0,0,0,1,putative_targets
ENSDARG00000003085,no,maternal_zygotic,6,ENSDARG00000003085:UTR4,0,0,0,0,0,others
ENSDARG00000003087,no,maternal,not_assigned,ENSDARG00000003087:UTR2,0,0,0,1,2,putative_targets
ENSDARG00000003091,no,maternal_zygotic,5,ENSDARG00000003091:UTR3,0,0,0,0,0,others
ENSDARG00000003098,no,maternal_zygotic,5,ENSDARG00000003098:UTR4,0,0,0,0,0,others
ENSDARG00000003109,no,maternal_zygotic,5,ENSDARG00000003109:UTR3,0,0,0,1,0,putative_targets
ENSDARG00000003127,no,maternal_zygotic,4,ENSDARG00000003127:UTR7,0,0,0,0,1,putative_targets
ENSDARG00000003144,no,maternal,not_assigned,ENSDARG00000003144:UTR2,0,0,0,0,0,others
ENSDARG00000003151,no,maternal_zygotic,4,ENSDARG00000003151:UTR4,0,1,0,0,0,putative_targets
ENSDARG00000003153,no,maternal_zygotic,6,ENSDARG00000003153:UTR2,0,0,0,0,0,controls
ENSDARG00000003157,no,maternal,not_assigned,ENSDARG00000003157:UTR2,0,1,0,0,0,putative_targets
ENSDARG00000003165,no,zygotic,7,ENSDARG00000003165:UTR10,0,0,0,0,1,putative_targets
ENSDARG00000003167,no,maternal,not_assigned,ENSDARG00000003167:UTR6,0,0,0,0,0,controls
ENSDARG00000003169,no,maternal_zygotic,5,ENSDARG00000003169:UTR7,0,0,0,0,0,others
ENSDARG00000003175,no,maternal,not_assigned,ENSDARG00000003175:UTR7,0,0,0,0,0,controls
ENSDARG00000003189,no,maternal_zygotic,7,ENSDARG00000003189:UTR4,0,0,0,0,0,others
ENSDARG00000003193,no,zygotic,4,ENSDARG00000003193:UTR7,0,0,0,0,0,others
ENSDARG00000003200,no,maternal_zygotic,6,ENSDARG00000003200:UTR4,0,0,0,1,0,putative_targets
ENSDARG00000003205,no,maternal_zygotic,6,ENSDARG00000003205:UTR2,0,0,0,0,0,others
ENSDARG00000003206,no,maternal,not_assigned,ENSDARG00000003206:UTR4,0,0,0,0,1,putative_targets
ENSDARG00000003207,no,maternal,not_assigned,ENSDARG00000003207:UTR7,0,0,0,0,0,others
ENSDARG00000003208,no,zygotic,7,ENSDARG00000003208:UTR3,0,0,1,0,1,putative_targets
ENSDARG00000003213,no,maternal_zygotic,6,ENSDARG00000003213:UTR2,0,0,0,0,0,others
ENSDARG00000003217,no,maternal_zygotic,not_assigned,ENSDARG00000003217:UTR6,0,0,0,0,1,putative_targets
ENSDARG00000003229,no,maternal,not_assigned,ENSDARG00000003229:UTR2,0,0,0,1,0,putative_targets
ENSDARG00000003235,no,maternal_zygotic,5,ENSDARG00000003235:UTR2,0,0,0,0,0,others
ENSDARG00000003244,no,maternal,not_assigned,ENSDARG00000003244:UTR4,0,0,0,0,0,controls
ENSDARG00000003250,no,maternal,not_assigned,ENSDARG00000003250:UTR3,0,0,1,0,0,putative_targets
ENSDARG00000003251,no,maternal,not_assigned,ENSDARG00000003251:UTR3,0,0,1,0,0,putative_targets
ENSDARG00000003257,no,zygotic,7,ENSDARG00000003257:UTR2,0,0,0,1,1,putative_targets
ENSDARG00000003269,no,maternal_zygotic,7,ENSDARG00000003269:UTR6,0,0,0,0,0,others
ENSDARG00000003270,no,maternal,not_assigned,ENSDARG00000003270:UTR5,0,0,0,0,0,controls
ENSDARG00000003281,no,zygotic,7,ENSDARG00000003281:UTR2,0,0,0,0,0,controls
ENSDARG00000003287,no,maternal_zygotic,6,ENSDARG00000003287:UTR2,0,0,0,0,0,others
ENSDARG00000003307,no,maternal_zygotic,7,ENSDARG00000003307:UTR3,0,0,0,0,1,putative_targets
ENSDARG00000003308,no,maternal_zygotic,7,ENSDARG00000003308:UTR2,0,0,1,0,0,putative_targets
ENSDARG00000003311,no,maternal,not_assigned,ENSDARG00000003311:UTR2,0,0,0,0,0,others
ENSDARG00000003313,no,zygotic,6,ENSDARG00000003313:UTR8,0,0,0,0,0,others
ENSDARG00000003320,no,maternal,not_assigned,ENSDARG00000003320:UTR2,0,0,0,0,0,controls
ENSDARG00000003328,no,maternal,not_assigned,ENSDARG00000003328:UTR7,0,0,0,0,0,others
ENSDARG00000003373,no,maternal_zygotic,6,ENSDARG00000003373:UTR2,0,0,0,0,0,others
ENSDARG00000003382,no,maternal_zygotic,7,ENSDARG00000003382:UTR2,0,0,0,0,0,controls
ENSDARG00000003383,no,maternal,not_assigned,ENSDARG00000003383:UTR6,1,0,0,0,0,putative_targets
ENSDARG00000003398,no,maternal_zygotic,4,ENSDARG00000003398:UTR2,0,0,1,0,0,putative_targets
ENSDARG00000003399,no,zygotic,6,ENSDARG00000003399:UTR2,0,0,0,0,0,controls
ENSDARG00000003411,no,zygotic,6,ENSDARG00000003411:UTR2,0,0,0,0,0,others
ENSDARG00000003429,no,maternal_zygotic,4,ENSDARG00000003429:UTR5,0,0,0,0,0,controls
ENSDARG00000003446,no,maternal,not_assigned,ENSDARG00000003446:UTR2,0,0,0,0,0,controls
ENSDARG00000003462,no,maternal,not_assigned,ENSDARG00000003462:UTR2,0,0,0,0,0,others
ENSDARG00000003486,no,maternal_zygotic,5,ENSDARG00000003486:UTR2,0,0,0,1,2,putative_targets
ENSDARG00000003487,no,maternal_zygotic,5,ENSDARG00000003487:UTR7,0,0,0,0,0,others
ENSDARG00000003495,no,maternal,not_assigned,ENSDARG00000003495:UTR8,0,0,0,0,0,others
ENSDARG00000003517,no,maternal,not_assigned,ENSDARG00000003517:UTR6,0,0,0,0,0,others
ENSDARG00000003519,no,maternal_zygotic,5,ENSDARG00000003519:UTR6,0,0,0,0,0,others
ENSDARG00000003520,no,maternal,not_assigned,ENSDARG00000003520:UTR3,0,0,1,1,0,putative_targets
ENSDARG00000003526,no,maternal_zygotic,5,ENSDARG00000003526:UTR5,0,0,0,0,0,others
ENSDARG00000003527,no,maternal_zygotic,6,ENSDARG00000003527:UTR4,0,0,0,0,0,controls
ENSDARG00000003531,no,maternal_zygotic,4,ENSDARG00000003531:UTR3,0,0,0,0,1,putative_targets
ENSDARG00000003544,no,maternal,not_assigned,ENSDARG00000003544:UTR5,0,0,0,0,0,others
ENSDARG00000003564,no,maternal_zygotic,5,ENSDARG00000003564:UTR3,0,0,0,0,0,others
ENSDARG00000003570,no,maternal_zygotic,6,ENSDARG00000003570:UTR2,0,0,0,0,0,others
ENSDARG00000003573,no,maternal,not_assigned,ENSDARG00000003573:UTR2,0,0,0,2,0,putative_targets
ENSDARG00000003584,no,maternal,not_assigned,ENSDARG00000003584:UTR3,0,0,0,0,0,others
ENSDARG00000003599,no,maternal_zygotic,4,ENSDARG00000003599:UTR3,0,0,0,0,0,others
ENSDARG00000003607,no,maternal_zygotic,5,ENSDARG00000003607:UTR4,0,0,0,0,0,others
ENSDARG00000003616,no,maternal_zygotic,4,ENSDARG00000003616:UTR2,0,0,0,0,1,putative_targets
ENSDARG00000003631,no,maternal,not_assigned,ENSDARG00000003631:UTR4,0,0,0,0,0,others
ENSDARG00000003641,no,maternal_zygotic,5,ENSDARG00000003641:UTR5,0,0,0,0,0,controls
ENSDARG00000003655,no,maternal,not_assigned,ENSDARG00000003655:UTR2,0,0,0,0,0,others
ENSDARG00000003675,no,maternal,not_assigned,ENSDARG00000003675:UTR5,0,0,0,0,0,others
ENSDARG00000003681,no,maternal_zygotic,4,ENSDARG00000003681:UTR10,0,0,0,0,0,others
ENSDARG00000003693,no,maternal_zygotic,5,ENSDARG00000003693:UTR4,0,0,0,0,0,others
ENSDARG00000003695,no,maternal,not_assigned,ENSDARG00000003695:UTR4,0,0,0,0,0,others
ENSDARG00000003699,no,maternal,not_assigned,ENSDARG00000003699:UTR5,0,0,0,1,1,putative_targets
ENSDARG00000003701,no,maternal,not_assigned,ENSDARG00000003701:UTR7,0,0,0,0,0,others
ENSDARG00000003705,no,maternal,not_assigned,ENSDARG00000003705:UTR2,0,0,0,2,0,putative_targets
